aggregated	self	category	text
81.47%	0.09%	44	b	{F Oh } I see
81.55%	0.09%	41	b	sure
81.64%	0.09%	41	ba	{F Oh } my
81.72%	0.08%	39	b	Uh-huh <laughter>
81.80%	0.08%	39	ba	{F Oh } boy
81.88%	0.08%	38	ba	Gosh
81.96%	0.08%	38	ba	Good
82.04%	0.08%	38	ba	{F Oh } great
82.12%	0.08%	37	b	{F Oh } yes
82.20%	0.08%	37	ba	Great
82.28%	0.08%	36	b	{F Uh } yeah
82.35%	0.08%	36	b	<Laughter>  Yeah
82.43%	0.07%	35	b	Yeah --
82.50%	0.07%	35	ba	{F Oh } that's good
82.57%	0.07%	34	bk	Uh-huh
82.64%	0.07%	33	ba	that's true
82.70%	0.06%	29	ba	That's interesting
82.76%	0.06%	28	bh	{F Oh } is that right?
82.82%	0.06%	28	bh	{F Oh } yeah?
82.88%	0.06%	28	b^m	No
82.94%	0.06%	27	bh	Really
82.99%	0.06%	27	ba	that's good
83.05%	0.05%	26	bh	Do you?
83.10%	0.05%	26	ba	{D Well } good
83.16%	0.05%	26	ba	Sure
83.21%	0.05%	26	b	Uh-huh <<very faint>>
83.27%	0.05%	26	ba	{F Oh } goodness
83.32%	0.05%	25	br	What?
83.37%	0.05%	25	b	Oh yeah
83.42%	0.05%	25	ba	I understand
83.48%	0.05%	24	ba	{F Oh } good
83.53%	0.05%	24	ba	{F Oh } that's nice
83.57%	0.05%	23	b	Um
83.62%	0.05%	23	ba	that's great
83.67%	0.05%	23	ba	{F Oh } dear
83.72%	0.05%	23	ba	that's right
83.77%	0.05%	22	ba	{F Oh } sure
83.81%	0.04%	21	b^m	Okay
83.85%	0.04%	20	ba	Exactly
83.89%	0.04%	20	bh	Yeah?
83.93%	0.04%	19	bk	Yeah
83.97%	0.04%	19	ba	My goodness
84.01%	0.04%	19	b	Uh-huh <<faint>>
84.05%	0.04%	18	b^m	Uh-huh
84.09%	0.04%	18	ba	great
84.13%	0.04%	17	ba	Jeez
84.16%	0.04%	17	ba	{F Oh } gee
84.20%	0.04%	17	b	{F Um } yeah
84.23%	0.04%	17	ba	I bet
84.27%	0.03%	16	ba	{F Oh } my word
84.30%	0.03%	16	b	really
84.33%	0.03%	16	b	Uh-huh <noise>
84.37%	0.03%	16	ba	Ooh
84.40%	0.03%	16	ba	You bet
84.44%	0.03%	16	b	<<Very faint>> Yeah
84.47%	0.03%	16	br	{F Huh? }
84.50%	0.03%	15	bh	{F Oh } did you?
84.53%	0.03%	15	b	<Laughter> Oh
84.56%	0.03%	15	b	<Laughter> Right
84.60%	0.03%	15	br	Pardon me?
84.63%	0.03%	15	bd	That's okay
84.66%	0.03%	14	br	Huh?
84.69%	0.03%	14	ba	True
84.72%	0.03%	14	b	{F Oh } right
84.75%	0.03%	14	b	Uh-huh --
84.78%	0.03%	14	b	That's right
84.80%	0.03%	14	ba	That's wonderful
84.83%	0.03%	14	bk	{F Oh } yeah
84.86%	0.03%	14	ba	Oh!
84.89%	0.03%	14	bh	Is it?
84.92%	0.03%	14	b	{F Oh } sure
84.95%	0.03%	14	ba	{D Well } that's interesting
84.98%	0.03%	14	ba	{D Well } that's great
85.01%	0.03%	13	ba	{F Oh } that's wonderful
85.04%	0.03%	13	b	Ooh
85.06%	0.03%	13	ba	good
85.09%	0.03%	13	br	What's that?
85.12%	0.03%	13	ba	{F Oh } man
85.15%	0.03%	13	bh	Did you?
85.17%	0.03%	13	ba	{F Oh } that's interesting
85.20%	0.03%	13	ba	{F Oh } I know
85.23%	0.03%	13	ba	{F Oh } yes
85.26%	0.03%	13	ba	Boy
85.28%	0.03%	13	b	{F oh } yeah
85.31%	0.03%	13	b	{D You know }
85.34%	0.03%	12	bk	Okay <laughter>
85.36%	0.03%	12	ba	{D Well } that's neat
85.39%	0.03%	12	b	{C So } yeah
85.41%	0.03%	12	ba	Wow <laughter>
85.44%	0.03%	12	b	Yeah {F uh }
85.46%	0.03%	12	ba	{F Oh } how neat
85.49%	0.03%	12	bh	Are you?
85.51%	0.03%	12	ba	I can imagine
85.54%	0.03%	12	ba	Gee
85.56%	0.02%	11	b	Yes <laughter>
85.58%	0.02%	11	bk	All right
85.61%	0.02%	11	b	<Laughter> Yes
85.63%	0.02%	11	b	{F Oh } yeah <laughter>
85.65%	0.02%	11	ba	{F Oh } no <laughter>
85.68%	0.02%	11	ba	{D Well } that's nice
85.70%	0.02%	11	ba	Wow!
85.72%	0.02%	11	ba	That sounds good
85.75%	0.02%	11	b	Yeah <<faint>>
85.77%	0.02%	11	ba	That's nice
85.79%	0.02%	11	ba	{F Oh } that's neat
85.82%	0.02%	11	br	Pardon?
85.84%	0.02%	11	b	{F Um } uh-huh
85.86%	0.02%	11	b	Yeah  <laughter>
85.89%	0.02%	11	ba	I see
85.91%	0.02%	11	bk	{F Oh } uh-huh
85.93%	0.02%	10	b	<Breathing> Yeah
85.95%	0.02%	10	ba	There you go
85.97%	0.02%	10	ba	{F Oh } my God
85.99%	0.02%	10	ba	{F Oh } God
86.01%	0.02%	10	ba	Golly
86.04%	0.02%	10	ba	That is right
86.06%	0.02%	10	bk	{F Oh }
86.08%	0.02%	10	b	Okay <laughter>
86.10%	0.02%	10	b	(( Yeah ))
86.12%	0.02%	10	ba	No kidding
86.14%	0.02%	10	ba	{F Oh } I bet
86.16%	0.02%	10	ba	I'll be darned
86.18%	0.02%	10	ba	Goodness
86.20%	0.02%	10	ba	That's neat
86.22%	0.02%	10	b	<Laughter>  Right
86.24%	0.02%	9	b	<Laughter> Uh-huh
86.26%	0.02%	9	ba	That's funny
86.28%	0.02%	9	b	I know
86.30%	0.02%	9	ba	{F Oh } how nice
86.32%	0.02%	9	ba	{F Oh } jeez
86.34%	0.02%	9	ba	That's pretty good
86.36%	0.02%	9	b	<Laughter> Okay
86.38%	0.02%	9	b	{F Uh } uh-huh
86.40%	0.02%	9	b	<<Very faint>>  Uh-huh
86.41%	0.02%	9	ba	Wonderful
86.43%	0.02%	9	b	oh
86.45%	0.02%	9	bh	{F Oh } do you?
86.47%	0.02%	9	ba	God
86.49%	0.02%	9	ba	{D Well } great
86.51%	0.02%	9	b	Um-hum
86.53%	0.02%	9	bk	Right
86.55%	0.02%	8	b	<Noise> Yeah
86.56%	0.02%	8	b	Uh-uh
86.58%	0.02%	8	bk	{F Oh } okay <laughter>
86.60%	0.02%	8	b	{F Oh } really <laughter>
86.61%	0.02%	8	bh	{F Oh } are you?
86.63%	0.02%	8	b	-- uh-huh
86.65%	0.02%	8	ba	That's right <laughter>
86.66%	0.02%	8	ba	My word
86.68%	0.02%	8	ba	You're kidding
86.70%	0.02%	8	b	<<Very faint>>  Yeah
86.71%	0.02%	8	ba	Good for you
86.73%	0.02%	8	ba	wow
86.75%	0.02%	8	bh	No?
86.76%	0.02%	8	b	{F Oh }  yeah
86.78%	0.02%	8	bk	Oh <laughter>
86.80%	0.02%	8	b	<Throat_clearing> Uh-huh
86.81%	0.02%	8	ba	that's for sure
86.83%	0.01%	7	ba	I'm sure
86.84%	0.01%	7	b	<Throat_clearing> Yeah
86.86%	0.01%	7	b	{C But } yeah
86.87%	0.01%	7	ba	Really
86.89%	0.01%	7	ba	Hey
86.90%	0.01%	7	b	Yeah  --
86.92%	0.01%	7	ba	Interesting
86.93%	0.01%	7	b	Uh-huh <baby>
86.95%	0.01%	7	b	no
86.96%	0.01%	7	ba	{F Oh } {D well } that's good
86.98%	0.01%	7	bh	{F Oh } have you?
86.99%	0.01%	7	bd	no
87.01%	0.01%	7	bh	Have you?
87.02%	0.01%	7	ba	I know what you mean
87.04%	0.01%	7	b	Yeah <noise>
87.05%	0.01%	7	bh	Was it?
87.07%	0.01%	7	ba	{F Oh } neat
87.08%	0.01%	7	b	(( Uh-huh ))
87.09%	0.01%	7	b	Yeah <breathing>
87.11%	0.01%	7	b	{F uh }
87.12%	0.01%	7	b	{F Oh } <laughter>
87.14%	0.01%	6	ba	there you go
87.15%	0.01%	6	b	{C But } {F uh } yeah
87.16%	0.01%	6	b	yep
87.18%	0.01%	6	ba	All right
87.19%	0.01%	6	b	Yeah <<very faint>>
87.20%	0.01%	6	bk	yeah
87.21%	0.01%	6	ba	{F Oh } how funny
87.23%	0.01%	6	b	<Laughter>  Oh
87.24%	0.01%	6	b	(( Right ))
87.25%	0.01%	6	ba	that's neat
87.26%	0.01%	6	ba	I understand that
87.28%	0.01%	6	ba	How about that
87.29%	0.01%	6	bh	Is that right
87.30%	0.01%	6	bh	Oh really?
87.31%	0.01%	6	b	{F Hm }
87.33%	0.01%	6	ba	{F Oh } nice
87.34%	0.01%	6	b	{F Oh } yeah --
87.35%	0.01%	6	b	<Lipsmack> Yeah
87.36%	0.01%	6	b	Yeah {F um }
87.38%	0.01%	6	ba	{F Oh } wonderful
87.39%	0.01%	6	ba	That's amazing
87.40%	0.01%	6	ba	{F Oh } that's pretty good
87.42%	0.01%	6	b	right <laughter>
87.43%	0.01%	6	b	yeah <laughter>
87.44%	0.01%	6	b	{D Well } okay
87.45%	0.01%	6	b	Really <laughter>
87.47%	0.01%	6	ba	I'll bet
87.48%	0.01%	6	ba	I imagine
87.49%	0.01%	6	b	{D So } yeah
87.50%	0.01%	6	ba	Very good
87.51%	0.01%	5	b	Yeah <<very faintly>>
87.52%	0.01%	5	bh	{F Oh } you do?
87.54%	0.01%	5	b	Ah
87.55%	0.01%	5	ba	{F Oh } my <laughter>
87.56%	0.01%	5	ba	that's nice
87.57%	0.01%	5	b	{F uh } yeah
87.58%	0.01%	5	b	Uh-huh <<pause>>
87.59%	0.01%	5	b	Yeah <throat_clearing>
87.60%	0.01%	5	ba	{F Oh } I see
87.61%	0.01%	5	b	Uh-huh <throat_clearing>
87.62%	0.01%	5	b	Uh-huh <talking>
87.63%	0.01%	5	ba	{F oh } gosh
87.64%	0.01%	5	b^m	Right
87.65%	0.01%	5	b	{F Oh } no
87.66%	0.01%	5	br	Excuse me?
87.67%	0.01%	5	b	Oh really
87.68%	0.01%	5	bh	Do you
87.69%	0.01%	5	ba	{F Oh } you're kidding
87.70%	0.01%	5	bd	{F Oh } that's okay
87.71%	0.01%	5	ba	Cool
87.72%	0.01%	5	ba	Good grief
87.74%	0.01%	5	ba	{F Oh } for heaven's sake
87.75%	0.01%	5	ba	Yeah
87.76%	0.01%	5	b	yeah --
87.77%	0.01%	5	ba	you bet
87.78%	0.01%	5	ba	That sounds great
87.79%	0.01%	5	ba	{F Oh } {D well } that's nice
87.80%	0.01%	5	b	<Laughter>  Okay
87.81%	0.01%	5	bd	that's okay
87.82%	0.01%	5	ba	How funny
87.83%	0.01%	5	b	{F Um
87.84%	0.01%	5	b	Right --
87.85%	0.01%	5	bk	Oh okay
87.86%	0.01%	5	ba	sure
87.87%	0.01%	5	b	No <laughter>
87.88%	0.01%	5	b	Yep <laughter>
87.89%	0.01%	5	bh	{F Oh } is it?
87.90%	0.01%	5	ba	Yes sir
87.91%	0.01%	5	ba	{D Well } that's wonderful
87.93%	0.01%	5	b	Oh!
87.94%	0.01%	5	b^m	yeah
87.95%	0.01%	5	ba	Ugh
87.96%	0.01%	5	b	Oh --
87.97%	0.01%	5	ba	{D Well } that's true
87.98%	0.01%	5	b	{F Oh } {D well } -
87.99%	0.01%	5	b	Oh <sigh>
88.00%	0.01%	5	ba	Man
88.01%	0.01%	5	bh	{F Oh } you are?
88.02%	0.01%	4	b	Uh-huh  <<faint>>
88.03%	0.01%	4	ba	That's awful
88.03%	0.01%	4	ba	That's a good idea
88.04%	0.01%	4	ba	{D well } that's great
88.05%	0.01%	4	ba	That's incredible
88.06%	0.01%	4	bk	all right
88.07%	0.01%	4	b	<laughter>  Yeah
88.08%	0.01%	4	bh	Are they?
88.09%	0.01%	4	bd	That's all right
88.09%	0.01%	4	ba	I don't blame you
88.10%	0.01%	4	b	{F Oh } {F oh }
88.11%	0.01%	4	b	I understand
88.12%	0.01%	4	bk	{F Oh } yes
88.13%	0.01%	4	b	{F Um }  Yeah
88.14%	0.01%	4	br	I'm sorry?
88.14%	0.01%	4	ba	How nice
88.15%	0.01%	4	b	<Throat_clearing>  Yeah
88.16%	0.01%	4	b	{F Uh } right
88.17%	0.01%	4	b	<<Very faint>> uh-huh
88.18%	0.01%	4	b	{C But } {F um } yeah
88.19%	0.01%	4	b	huh-uh
88.19%	0.01%	4	bk	No
88.20%	0.01%	4	b	{C So }  yeah
88.21%	0.01%	4	ba	{F Oh } that sounds good
88.22%	0.01%	4	b	Uh huh
88.23%	0.01%	4	b	<Laughter>  {F Oh } yeah
88.24%	0.01%	4	b	<Laughter>  Uh-huh
88.25%	0.01%	4	b	Wow
88.25%	0.01%	4	ba	I know it
88.26%	0.01%	4	ba	boy
88.27%	0.01%	4	ba	I can understand that
88.28%	0.01%	4	b	Hm
88.29%	0.01%	4	b	{F Uh } okay
88.30%	0.01%	4	ba	That sounds fun
88.30%	0.01%	4	b	<Child_talking> Yeah
88.31%	0.01%	4	b	{C And } yeah
88.32%	0.01%	4	b	<<Very faint>> Right
88.33%	0.01%	4	b	{F Uh } yes
88.34%	0.01%	4	b	Right <throat_clearing>
88.35%	0.01%	4	b	<Sniffing> Yeah
88.35%	0.01%	4	b	<<Faint>> Uh-huh
88.36%	0.01%	4	b	that's right
88.37%	0.01%	4	ba	That would be nice
88.38%	0.01%	4	ba	I know <laughter>
88.39%	0.01%	4	bd	That's okay <laughter>
88.40%	0.01%	4	bh	{F Oh } are you really?
88.41%	0.01%	4	b	{F Oh } huh-uh
88.41%	0.01%	4	b	{F um }
88.42%	0.01%	4	b	{F Oh }  ((   ))
88.43%	0.01%	4	ba	that sounds good
88.44%	0.01%	4	ba	Right
88.45%	0.01%	4	b	{F Um } {F um } Uh-huh
88.46%	0.01%	4	b	Uh-huh <breathing>
88.46%	0.01%	4	ba	How interesting
88.47%	0.01%	3	ba	Neat
88.48%	0.01%	3	ba	that's interesting
88.48%	0.01%	3	b	<laughter>  Yes
88.49%	0.01%	3	b	{F Oh } {F oh } yeah
88.50%	0.01%	3	ba	{F Oh } Lord
88.50%	0.01%	3	br	What
88.51%	0.01%	3	ba	{F Oh } I imagine
88.52%	0.01%	3	ba	{F Oh } my goodness <laughter>
88.52%	0.01%	3	ba	exactly
88.53%	0.01%	3	ba	{F Oh } that's terrible
88.53%	0.01%	3	ba	{F Oh } that's cool
88.54%	0.01%	3	bh	Is it really?
88.55%	0.01%	3	ba	Wow that's great
88.55%	0.01%	3	b	{C But }  {F uh } yeah
88.56%	0.01%	3	bk	{F oh } okay
88.57%	0.01%	3	b	{F Oh } {F oh } I see
88.57%	0.01%	3	bh	You think so?
88.58%	0.01%	3	b	Right {F uh }
88.58%	0.01%	3	ba	{F Oh } that is nice
88.59%	0.01%	3	b	Yeah <Laughter>
88.60%	0.01%	3	b	<Noise> Uh-huh
88.60%	0.01%	3	ba	{F Oh }  gosh
88.61%	0.01%	3	bk	Ooh
88.62%	0.01%	3	b	<Talking> Yeah
88.62%	0.01%	3	ba	that's
88.63%	0.01%	3	ba	{F Oh } dear <laughter>
88.64%	0.01%	3	b	<laughter> yeah
88.64%	0.01%	3	b	<Child_talking> Uh-huh
88.65%	0.01%	3	ba	{F Oh } I'm sure
88.65%	0.01%	3	ba	{D Well } that sounds good
88.66%	0.01%	3	ba	that's -
88.67%	0.01%	3	ba	{D Well } wonderful
88.67%	0.01%	3	b	Uh-hum
88.68%	0.01%	3	b	really <laughter>
88.69%	0.01%	3	ba	Good idea
88.69%	0.01%	3	ba	That's hilarious
88.70%	0.01%	3	ba	{F Oh } that's
88.70%	0.01%	3	ba	That's for sure
88.71%	0.01%	3	b	Good
88.72%	0.01%	3	ba	{F Oh } good grief
88.72%	0.01%	3	bk	Okay <beep>
88.73%	0.01%	3	b	{C And } {F uh } yeah
88.74%	0.01%	3	bk	{F Uh } okay
88.74%	0.01%	3	ba	{F Ooh }
88.75%	0.01%	3	ba	That's really neat
88.76%	0.01%	3	ba	That's it
88.76%	0.01%	3	b	<Laughter>   Yeah
88.77%	0.01%	3	br	What did you say?
88.77%	0.01%	3	ba	{F Oh } that's exciting
88.78%	0.01%	3	bf	{F Oh } you do
88.79%	0.01%	3	b	uh-huh --
88.79%	0.01%	3	ba	{F Oh } boy <laughter>
88.80%	0.01%	3	b	{F Huh } <laughter>
88.81%	0.01%	3	ba	That's tough
88.81%	0.01%	3	br	The what?
88.82%	0.01%	3	bk	{F Um } I see
88.82%	0.01%	3	ba	{F Oh } definitely
88.83%	0.01%	3	ba	Ouch
88.84%	0.01%	3	ba	It is
88.84%	0.01%	3	ba	{D Well } that's right
88.85%	0.01%	3	b	Ugh
88.86%	0.01%	3	ba	{D Well } that sounds nice
88.86%	0.01%	3	b	{F Oh } {D well }
88.87%	0.01%	3	bh	Isn't that amazing?
88.88%	0.01%	3	ba	That's really good
88.88%	0.01%	3	b	<Inhaling> Yeah
88.89%	0.01%	3	ba	{D Well } that's pretty good
88.89%	0.01%	3	b	Uh
88.90%	0.01%	3	b	Yeah  <breathing>
88.91%	0.01%	3	ba	{F Oh } congratulations
88.91%	0.01%	3	ba	{F Oh } that's a good idea
88.92%	0.01%	3	b	Oh  <laughter>
88.93%	0.01%	3	bk	{F Oh }  okay
88.93%	0.01%	3	b	Right <breathing>
88.94%	0.01%	3	bh	How about that
88.94%	0.01%	3	bh	{F Oh } you did?
88.95%	0.01%	3	ba	gosh
88.96%	0.01%	3	b	<Throat_clearing>  Uh-huh
88.96%	0.01%	3	ba	jeez
88.97%	0.01%	3	ba	{D Well } that is great
88.98%	0.01%	3	b	Is that right
88.98%	0.01%	3	ba	really
88.99%	0.01%	3	bk	{F Huh } okay
89.00%	0.01%	3	b	{F oh } yes
89.00%	0.01%	3	b	Well -
89.01%	0.01%	3	ba	Oh geez
89.01%	0.01%	3	br	I beg your pardon
89.02%	0.01%	3	b	{F huh }
89.03%	0.01%	3	ba	Sounds wonderful
89.03%	0.01%	3	ba	{D Well } that sounds interesting
89.04%	0.01%	3	b	{F Uh } {F uh }
89.05%	0.01%	3	ba	{F Oh } I can imagine
89.05%	0.01%	3	ba	{F Oh } my -
89.06%	0.01%	3	b^m	{F Oh } yeah
89.06%	0.01%	3	ba	{D Well } how neat
89.07%	0.01%	3	br	A what?
89.08%	0.01%	3	b	<Children> Yeah
89.08%	0.01%	3	b	Gosh
89.09%	0.01%	3	b	Yeah  {D well }
89.10%	0.01%	3	b	(( Oh ))
89.10%	0.01%	3	ba	That would be great
89.11%	0.01%	3	ba	<Laughter> {F Oh } no
89.12%	0.01%	3	b	<Laughter> Really
89.12%	0.01%	3	ba	that's a good idea
89.13%	0.01%	3	b	<Laughter>
89.13%	0.01%	3	b	{F Oh } oh
89.14%	0.01%	3	ba	That's fun
89.15%	0.01%	3	b	{F Oh }  really
89.15%	0.01%	3	ba	that's terrible
89.16%	0.01%	3	ba	{F Oh } of course
89.17%	0.01%	3	ba	{F Oh } {D well } good
89.17%	0.01%	3	ba	That's correct
89.18%	0.01%	3	ba	That's cool
89.19%	0.01%	3	ba	{D well } that's good
89.19%	0.01%	3	b	<Music> Uh-huh
89.20%	0.01%	3	ba	How neat
89.20%	0.01%	3	bh	Are you really?
89.21%	0.01%	3	ba	That is true
89.22%	0.01%	3	ba	There you go <laughter>
89.22%	0.01%	3	b	Uh-huh  <<very faint>>
89.23%	0.01%	3	b	huh
89.24%	0.01%	3	ba	that sounds great
89.24%	0.01%	3	bh	{F Oh } you haven't?
89.25%	0.01%	3	br	Excuse me
89.25%	0.01%	3	bh	You do?
89.26%	0.01%	3	b	Oh <<faintly>>
89.27%	0.01%	3	ba	<Laughter> {F Oh } dear
89.27%	0.01%	3	ba	{F Oh } how exciting
89.28%	0.01%	3	ba	{D Well } that is interesting
89.29%	0.01%	3	ba	{F Oh } lord
89.29%	0.01%	3	b	Well
89.30%	0.01%	3	ba	That's wild
89.31%	0.01%	3	bh	Think so?
89.31%	0.01%	3	bh	{F Oh } do they?
89.32%	0.01%	3	ba	{F Oh } that's not bad
89.32%	0.01%	3	b	You know
89.33%	0.01%	3	ba	Uh oh
89.34%	0.01%	3	bk	{F Oh } okay --
89.34%	0.01%	3	bh	{F Oh } you don't?
89.35%	0.01%	3	ba	Definitely
89.36%	0.01%	3	b^m	Yes
89.36%	0.01%	3	b	{F Um } {F um
89.37%	0.01%	3	bd	Okay
89.37%	0.01%	3	ba	{D Well } of course
89.38%	0.01%	3	bh	You're kidding
89.39%	0.00%	2	bh	Isn't that funny?
89.39%	0.00%	2	ba	Oh my
89.39%	0.00%	2	b	<Smack> Yeah
89.40%	0.00%	2	bh	You do
89.40%	0.00%	2	b	<Laughter> yeah
89.41%	0.00%	2	b	{C But }  yeah
89.41%	0.00%	2	ba	true
89.41%	0.00%	2	bh	Isn't that something?
89.42%	0.00%	2	ba	{F Oh } that will be nice
89.42%	0.00%	2	ba	{D Well } that's good <laughter>
89.43%	0.00%	2	ba	I bet <laughter>
89.43%	0.00%	2	b	<<Faint>>  Uh-huh
89.44%	0.00%	2	b	Right <noise>
89.44%	0.00%	2	b	yes --
89.44%	0.00%	2	b	{F um } yeah
89.45%	0.00%	2	bh	{F Oh } it does?
89.45%	0.00%	2	b^m	Virginia
89.46%	0.00%	2	b	{D Well } yes
89.46%	0.00%	2	b	Oh <breathing>
89.47%	0.00%	2	ba	That's
89.47%	0.00%	2	ba	{F Oh } isn't it though
89.47%	0.00%	2	b	Yeah {F oh }
89.48%	0.00%	2	b	<laughter> okay
89.48%	0.00%	2	ba	{F Oh } that's tough
89.49%	0.00%	2	ba	{F Um } that's neat
89.49%	0.00%	2	b	Uh-huh  {F Um }
89.49%	0.00%	2	b^m	Nursing
89.50%	0.00%	2	ba	no doubt
89.50%	0.00%	2	ba	{D well } that's interesting
89.51%	0.00%	2	ba	Uh-oh
89.51%	0.00%	2	b	(( Yeah
89.52%	0.00%	2	b	-- Uh-huh
89.52%	0.00%	2	b	Exactly
89.52%	0.00%	2	b	{F Oh } are you
89.53%	0.00%	2	bh	isn't that funny?
89.53%	0.00%	2	b	<laughter> Yeah
89.54%	0.00%	2	ba	{F Ooh } that would be nice
89.54%	0.00%	2	ba	That's very true
89.55%	0.00%	2	b	<Laughter>  Oh <laughter>
89.55%	0.00%	2	b	Yeah  <noise>
89.55%	0.00%	2	ba	no
89.56%	0.00%	2	ba	{D Well } that's good though
89.56%	0.00%	2	b	{F Uh
89.57%	0.00%	2	ba	{F Uh } that's nice
89.57%	0.00%	2	ba	That's really interesting
89.57%	0.00%	2	ba	{D Well } that's a thought
89.58%	0.00%	2	b^m	Nothing
89.58%	0.00%	2	bh	Were you?
89.59%	0.00%	2	b	Uh-huh <music>
89.59%	0.00%	2	ba	it's great
89.60%	0.00%	2	bh	Isn't that interesting?
89.60%	0.00%	2	b	(( Sure ))
89.60%	0.00%	2	b	uh-huh <laughter>
89.61%	0.00%	2	b	<Talking> Uh-huh
89.61%	0.00%	2	b	Yeah {D you know }
89.62%	0.00%	2	ba	{F Oh } there you go
89.62%	0.00%	2	b	<laughter>  right
89.63%	0.00%	2	ba	{F Oh } wow!
89.63%	0.00%	2	ba	{F Oh } me
89.63%	0.00%	2	bh	Are you serious?
89.64%	0.00%	2	ba	That will be neat
89.64%	0.00%	2	ba	{F Oh } {D well } that's neat
89.65%	0.00%	2	bd	Uh-huh
89.65%	0.00%	2	ba	{F Oh }  -
89.65%	0.00%	2	ba	I believe it
89.66%	0.00%	2	b	<Laughter> {D Well } yeah
89.66%	0.00%	2	bd	{F Oh } no
89.67%	0.00%	2	ba	{F Oh } <laughter>  dear
89.67%	0.00%	2	bh	{F Oh } is it really?
89.68%	0.00%	2	ba	{D Well } that's fantastic
89.68%	0.00%	2	ba	That's a good question
89.68%	0.00%	2	ba	Sounds like it
89.69%	0.00%	2	b	{F Um } {F um }
89.69%	0.00%	2	b	You don't think so
89.70%	0.00%	2	ba	[ that's + that's ] a good idea
89.70%	0.00%	2	b	{F Oh } uh-huh <laughter>
89.71%	0.00%	2	ba	{F Oh } no kidding
89.71%	0.00%	2	b	Uh-huh <inhaling>
89.71%	0.00%	2	bd	it's okay
89.72%	0.00%	2	bk	{F Oh } <laughter> okay
89.72%	0.00%	2	bh	Is it
89.73%	0.00%	2	bh	{F Oh } does he?
89.73%	0.00%	2	ba	Beautiful
89.73%	0.00%	2	b	Uh-oh
89.74%	0.00%	2	b	Of course
89.74%	0.00%	2	bd	No
89.75%	0.00%	2	ba	{F Oh } that sounds lovely
89.75%	0.00%	2	b	No kidding
89.76%	0.00%	2	ba	Oh
89.76%	0.00%	2	b	{F Oh }  okay
89.76%	0.00%	2	bh	do you?
89.77%	0.00%	2	bh	{F Oh } -
89.77%	0.00%	2	b	Yeah <sniffing>
89.78%	0.00%	2	br	No?
89.78%	0.00%	2	b	{F Oh
89.79%	0.00%	2	ba	{F Oh } how fun
89.79%	0.00%	2	ba	Pretty good
89.79%	0.00%	2	bk	{D Well } okay
89.80%	0.00%	2	bh	{F Oh } they did?
89.80%	0.00%	2	ba	That's a beautiful state
89.81%	0.00%	2	b	{F Oh } {D well } yeah
89.81%	0.00%	2	ba	{F Oh } God <laughter>
89.82%	0.00%	2	bh	{F Oh } do you
89.82%	0.00%	2	ba	{F Oh } how about that
89.82%	0.00%	2	b	{F Oh } really --
89.83%	0.00%	2	bf	Goal directed
